keyword,unit_eselon,category
makanan dan minuman,IA,03. Industri Agro
mamin,IA,03. Industri Agro
industri agro,IA,03. Industri Agro
kelapa,IA,03. Industri Agro
gula,IA,03. Industri Agro
tepung,IA,03. Industri Agro
terigu,IA,03. Industri Agro
tapioka,IA,03. Industri Agro
sagu,IA,03. Industri Agro
rumput laut,IA,03. Industri Agro
alga,IA,03. Industri Agro
spirulina,IA,03. Industri Agro
olahan daging,IA,03. Industri Agro
mi instan,IA,03. Industri Agro
ikan kaleng,IA,03. Industri Agro
makanan kemasan,IA,03. Industri Agro
biskuit,IA,03. Industri Agro
kertas,IA,03. Industri Agro
pulp,IA,03. Industri Agro
mebel,IA,03. Industri Agro
furniture,IA,03. Industri Agro
atsiri,IA,03. Industri Agro
karet,IA,03. Industri Agro
kayu lapis,IA,03. Industri Agro
hasil tembakau,IA,03. Industri Agro
rokok,IA,03. Industri Agro
kakao,IA,03. Industri Agro
cokelat,IA,03. Industri Agro
minuman beralkohol,IA,03. Industri Agro
minuman berpemanis,IA,03. Industri Agro
nikotin,IA,03. Industri Agro
tar,IA,03. Industri Agro
teh,IA,03. Industri Agro
susu,IA,03. Industri Agro
amdk,IA,03. Industri Agro
air minum dalam kemasan,IA,03. Industri Agro
galon guna ulang,IA,03. Industri Agro
kopi,IA,03. Industri Agro
cpo,IA,03. Industri Agro
sawit,IA,03. Industri Agro
minyak sawit,IA,03. Industri Agro
pome,IA,03. Industri Agro
fame,IA,03. Industri Agro
biodiesel,IA,03. Industri Agro
bioethanol,IA,03. Industri Agro
pakan ternak,IA,03. Industri Agro
